	zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta05g02426	2589298.13095031	3208072.07908508	2035285.20978912	2698786.52957928	2430577.38196163	2916471.95800576	2676186.94106968	2532960.57031149	1771408.08027661	2805833.19703281	2296542.57028525	1724509.38922114	2334319.62963462	3012616.73795095	1979871.68989712	2463370.31924429	2655365.56919054	2367655.16690525
ostta01g03280	12339921.7620389	13222852.2945874	9523791.38649742	12036227.2087315	11707251.5934445	12700181.5470073	11973139.4747551	11934326.0788438	10451691.2401593	7137098.5269445	7433103.15887112	7890299.69788058	8115171.43603356	9209362.300662	7809913.72467466	8162962.40323634	7659141.39690045	8561518.11385867
ostta03g04670	10707272.6370662	11393590.2778894	5953266.70250532	11177559.3854508	10331925.8345628	11530618.2792605	10901915.7606958	10720371.5949986	6472620.95044787	9950543.93206188	9914078.92675003	5562837.9579211	10085177.3911639	10480074.6888278	5525588.91892863	10376640.6243322	10700051.000091	10542369.4184655
ostta01g01830	3537893.24155499	3603557.91253094	2210502.60049209	3238514.74323759	3693473.63324801	3673519.98438157	3296214.06150018	3323940.82718306	2019760.63589844	3060922.34391336	3075574.73043351	2230686.82669883	3532695.38303329	3845018.97464403	2230322.03128271	3760083.32925403	3339083.55850069	3440526.55348806
ostta03g02810	1230858.35767559	1263851.529382	461478.97834924	888247.86418247	1083934.28890015	1220999.51319503	1196569.63156789	839512.986234363	681131.015124521	781027.419442963	438460.047704558	627235.995418404	844523.388750543	872023.249556278	783690.495914886	963099.91671951	417187.196034801	885376.804996012
ostta14g01900	9971811.50497128	13016982.399466	10492490.0671371	10722868.8775703	10387621.5652366	10169528.2481391	10202473.6026673	9359884.15762877	11119421.8795779	10492963.4531675	9637571.66294182	9906541.22876384	9833189.31603532	10838192.757223	9520120.79270324	9922849.00728767	11268869.8215596	11769979.5655568
ostta04g02090	4858664.8969572	6074851.32822927	3509583.59306187	6591690.27525179	6817625.06366179	7186849.08645032	6906544.17442152	7345066.53385595	10262979.4386664	4813879.11442277	4920398.81609975	8616163.38269664	5210077.81308914	5838380.9932047	6378258.41467481	6045681.92605588	5614964.48233359	6079310.78081273
ostta12g02840	1535673.68275059	2265012.76562277	849479.676299461	1319521.87624274	1688173.02073568	1591579.72868771	1351628.13635351	1478015.66710384	1157856.2284291	1175564.85321858	1023386.47709318	462859.121982513	1276790.65390218	1207232.29835805	710193.014316529	1502476.72909168	1383396.07512184	1372604.24804472
ostta10g02060	971760.329923137	1510911.31581924	787901.061627482	1000399.09976054	994683.782639481	1208557.8653938	1065877.75056758	952096.852565673	634782.063103167	700570.723582355	572361.647270496	470591.823150647	987704.195329926	816712.201569775	606678.538828091	944878.753467016	945926.698973128	1062881.58609236
ostta11g00180	3161894.77145354	3045781.03309596	731123.808099933	3176864.17824268	2485310.51981082	3234436.87026262	3068926.54940851	2983339.19675379	1129143.80635152	3024026.92936527	2699131.60144124	1065214.5741069	2799352.21321393	3573337.73203313	1526416.62537462	2809895.54695112	2990477.80273438	3541963.79337894
ostta08g00030	10599892.6072021	10696148.2834411	2478464.55869586	11172728.8619521	11977537.9551441	13435304.8586774	11071252.8619544	10985828.2494704	2407017.69291057	26357770.4495997	21331025.823732	6378159.73117098	25284350.9030797	24228038.7668583	5952987.99862956	24445678.7332417	21643697.8789613	14109021.7159795
ostta14g01040	19676831.3420357	21269276.8212997	24167337.6534488	17375146.0909276	18745008.4037566	20851473.9248786	20128724.3471781	22489280.1550207	22697259.9482522	16391543.8183178	19180659.1012492	23043670.6928363	16139502.4594583	19011406.7874878	18585690.7798658	15337408.8260918	19972784.853907	22731478.6547269
ostta14g01520	8075860.75579811	8884892.93383546	10256241.9617308	8649024.10491539	7929035.08423632	7988035.41744611	8047832.47068627	7762368.95845196	11882289.1498652	6457727.05604275	7093323.29806683	9229865.21319287	7952089.80581763	8159311.07567424	10349712.4411721	8337560.58855637	7907063.57182853	8472347.72966889
ostta01g00890	35955757.5007427	38434400.9689788	34062738.6625882	32066527.0174622	32075394.3011293	39011011.919885	32708504.191128	30314577.1959577	35246027.0619786	36684232.2511038	34123737.0469605	34659572.6431466	35395178.65044	41913356.0585977	33879578.3990877	35088059.3808054	34652949.2353126	33644640.6093207
ostta15g00640	8985919.31138669	10354889.4914346	12380792.7940465	8247697.68004415	9056668.92169393	9820226.21748277	7758259.66775583	8364595.0077057	15085211.6094199	7447153.82684113	8498140.06103917	12789632.5806474	9243998.0914215	10241622.1290683	12984842.0395961	10730172.0471197	9831695.46989973	10188749.8622897
ostta07g04410	4319883.465727	5204616.71943175	3461466.31197312	4202121.14551498	4044824.71174869	5294549.61890819	4455066.65603159	4085252.1346784	3881499.23712631	4400869.3575746	4940149.34060054	3340665.29835091	5016588.85147204	5293125.88956014	3175518.42939452	4487028.72898624	5175205.58055247	5620552.04104863
ostta07g02040	1998458.95969546	2926716.20208501	1703364.62562365	2687622.54275932	2470819.50155026	2388524.19982732	2143724.1281873	2647377.31699419	1539683.42891172	3057704.97853582	3332604.29771642	1874300.78298108	2567618.88342259	4151030.70838895	1793841.90177059	2674067.52960961	2581894.50633615	3117347.45024544
ostta18g01310	1513112.61676458	2166585.42638265	963225.415520067	1721785.25447066	1861700.60134567	1659215.64395801	1433154.38113304	1383895.40771144	806424.474724652	2409587.79906897	1975314.10525102	1119970.62809297	2376937.49821015	2314509.12982557	1248149.49326142	2541039.39915564	2321863.14666176	1897812.48076369
