zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta05g02426	3170662.23437982	4641304.20881826	3273656.87582656	3250339.69876714	3868325.91186184	2562493.20836455	3100879.52315133	3158104.35895412	2709350.74827482	4208762.07596574	3875451.16157633	2729243.61551432	3637758.54034845	2889039.93875706	2779891.51823526	3298115.23663048	3901616.95710531	3263344.32222672
ostta01g03280	14793713.6027074	16770398.5558834	12649035.4517691	14732590.4537023	14115124.6063909	13160895.4712711	13960817.83351	13965383.7893544	13815893.4000599	16539517.844943	13269892.4506183	11354455.3865636	15518743.1837284	14304547.0274405	11225086.0479075	13572139.3484031	13344488.787206	12652558.7877209
ostta14g01900	13183154.4193489	17554900.9015684	12846307.2253477	14004843.0925198	18520267.0514143	12446437.9333563	12420070.3772949	13604265.3690672	12889328.3260424	16039266.612435	13451217.2715951	11436530.7266408	12340194.6085866	14611410.469677	11227762.6443773	13485556.0840289	14181517.7970683	12850394.5915783
ostta04g02090	5725038.48809309	8331476.79116625	6572861.86023052	10296797.3636634	12582151.7570975	9055552.46541118	13339908.5777465	16598457.1129456	14656869.637544	19367775.6395754	20566148.6771146	12467797.6058957	10059562.014843	13102479.4161671	7280504.43687552	6535608.0261082	11349759.3008646	6575280.79122479
ostta01g01830	5075017.92013476	6006073.21432298	3873940.82315526	4681649.47956921	5255349.01050014	3091957.57852403	4656289.34121954	4955475.04502964	2994033.10088445	3553418.66324554	5551120.98411153	3284644.5391841	4952179.18297674	3866511.77029605	3239655.74894778	4326109.96932786	5026957.77890505	3855415.81667183
ostta03g02810	1996112.93706079	2643467.55610574	1390450.40528382	1736272.41188112	2074711.70738798	991437.533383387	1645954.00448665	1728504.47015764	1307421.49633636	2203812.81102512	1798282.46759266	1395325.46167299	2022292.69467351	1256514.45465744	1288589.8141988	1406858.00099799	2129188.07397526	1388264.86727729
ostta14g01520	15574075.0134045	16629575.6958724	20846335.4440223	14842871.9675734	16650084.1098935	19543357.5527459	14592170.5102001	10935328.3172083	17496019.2729535	14956202.4785096	17080822.4690758	16379557.1669573	17614107.8859408	14284986.0154191	18858339.3630429	16763726.0876754	15205148.9724176	20849552.4254655
ostta15g00640	20088692.463902	21434055.7439894	19014828.2040062	19763573.7750042	19610582.5424674	21245708.6832372	21613719.8810537	21240756.8515788	23687148.9060085	21799013.4450421	19213418.7663918	17922239.0389512	19625318.02377	21130982.9149809	16862942.9679339	18409511.532397	19890303.4309986	19018028.1600925
ostta01g00890	21253661.3332887	28108869.2403596	27486813.1119595	20910718.8433628	33699322.3509907	25532725.7268361	19440265.2584764	26077949.5949595	26183685.7070346	20522007.2269234	27374441.0747212	24816555.6875566	19628684.2820728	24681265.8747897	26634000.5440625	20195350.4770842	23416331.9507537	27491508.5842791
ostta08g00030	17510619.0620873	17715116.8830957	8396805.14387509	18181160.5369779	19036333.1225767	3930700.09647794	19290464.9952016	17109247.281192	3974456.16966408	22503616.7008909	21611562.9255788	11336786.0224596	17207282.9833581	10523973.020339	9212442.58767975	17304138.5111662	24852287.8367087	8400922.43909673
